type,air_temperature,process_temperature,rotational_speed,torque,tool_wear,temp_diff,power,rpm_torque_ratio,machine_failure,TWF,HDF,PWF,OSF,RNF
M,299.4,309.7,1898,41.8,214,10.3,8306.9,45.41,0,0,0,0,0,0
L,300.2,310.0,1578,46.9,126,9.79,7757.5,33.61,0,0,0,0,0,0
M,300.9,311.2,1542,47.4,179,10.31,7648.1,32.56,0,0,0,0,0,0
L,300.9,310.0,1326,44.1,184,9.11,6123.0,30.07,0,0,0,0,0,0
M,298.5,309.0,1160,35.7,207,10.49,4340.7,32.46,0,0,0,0,0,0
L,297.8,306.4,1485,49.9,63,8.68,7756.7,29.77,0,0,0,0,0,0
M,305.0,314.2,1713,49.9,93,9.17,8958.2,34.3,0,0,0,0,0,0
L,299.0,308.8,1435,38.5,199,9.76,5779.1,37.31,0,0,0,0,0,0
L,301.4,313.1,1580,32.2,192,11.74,5321.8,49.12,0,0,0,0,0,0
L,296.8,307.6,1785,32.7,130,10.78,6116.4,54.55,0,0,0,0,0,0
L,299.4,310.5,1780,53.6,99,11.08,10000.1,33.18,1,0,0,1,0,0
L,299.7,311.2,1585,49.5,242,11.42,8217.2,32.02,1,1,0,0,1,0
L,300.9,314.5,1534,39.8,103,13.6,6393.4,38.54,0,0,0,0,0,0
L,294.6,304.6,1196,38.0,190,10.04,4760.3,31.47,0,0,0,0,0,0
L,300.3,311.8,1373,22.3,103,11.42,3208.9,61.52,1,0,0,1,0,0
L,297.7,308.7,1443,39.2,77,11.01,5916.9,36.85,0,0,0,0,0,0
M,300.6,311.6,1329,28.1,160,11.0,3909.2,47.31,0,0,0,0,0,0
L,297.9,309.7,1549,41.6,201,11.77,6746.4,37.24,0,0,0,0,0,0
H,298.3,307.9,1882,51.9,245,9.58,10219.2,36.3,1,1,0,1,0,0
M,299.5,309.0,1803,30.2,37,9.5,5701.2,59.71,0,0,0,0,0,0
M,297.9,308.2,1548,42.4,219,10.32,6871.0,36.52,1,1,0,0,0,0
L,299.0,308.9,1655,50.0,131,9.82,8661.7,33.11,0,0,0,0,0,0
M,297.6,307.9,1354,42.2,26,10.32,5984.0,32.08,0,0,0,0,0,0
L,296.3,307.9,1792,34.8,198,11.56,6523.0,51.55,0,0,0,0,0,0
L,302.0,311.6,1187,40.1,82,9.52,4985.0,29.6,0,0,0,0,0,0
L,297.4,307.1,1682,49.6,217,9.7,8731.6,33.93,1,1,0,0,0,0
M,299.6,309.8,1599,42.6,39,10.17,7137.6,37.51,0,0,0,0,0,0
L,301.5,311.3,1348,40.0,177,9.77,5641.7,33.73,0,0,0,0,0,0
L,298.8,306.9,1458,51.6,75,8.09,7872.5,28.28,0,0,0,0,0,0
H,298.3,307.8,1273,45.1,64,9.42,6018.8,28.2,0,0,0,0,0,0
M,300.5,311.1,1281,28.0,12,10.69,3752.2,45.8,0,0,0,0,0,0
L,302.2,313.7,1181,46.3,120,11.44,5727.9,25.5,0,0,0,0,0,0
L,297.7,306.5,1653,49.5,97,8.85,8567.8,33.4,0,0,0,0,0,0
M,299.7,308.5,1741,27.6,15,8.84,5036.8,63.02,0,0,0,0,0,0
L,296.5,306.6,1067,17.3,56,10.03,1934.4,61.63,1,0,0,1,0,0
L,299.2,307.1,1867,29.6,121,7.92,5783.4,63.12,0,0,0,0,0,0
L,300.1,309.6,1497,39.0,202,9.56,6109.9,38.41,0,0,0,0,0,0
H,298.3,306.6,1557,50.1,232,8.26,8168.4,31.08,0,0,0,0,0,0
M,299.1,310.5,1205,31.1,128,11.37,3923.2,38.76,0,0,0,0,0,0
M,297.2,306.4,1764,45.6,100,9.23,8414.5,38.73,0,0,0,0,0,0
M,300.2,311.8,1540,11.1,238,11.65,1786.2,139.04,1,1,0,1,0,0
L,302.1,313.2,1727,41.8,240,11.11,7560.1,41.31,1,1,0,0,0,0
L,297.8,307.2,1744,35.9,47,9.35,6562.4,48.54,0,0,0,0,0,0
L,298.8,307.7,1766,61.0,132,8.93,11278.4,28.96,1,0,0,1,0,0
L,301.0,310.8,1370,21.1,205,9.81,3024.1,64.99,1,0,0,1,0,0
L,302.4,312.3,1458,39.9,205,9.9,6085.1,36.58,0,0,0,0,0,0
M,297.0,307.4,1377,21.0,171,10.35,3030.7,65.52,1,0,0,1,0,0
M,299.7,308.9,1679,34.5,117,9.22,6066.5,48.66,0,0,0,0,0,0
M,300.6,311.3,1566,23.0,100,10.75,3769.9,68.12,0,0,0,0,0,0
L,299.8,310.1,1713,63.0,201,10.27,11302.7,27.19,1,0,0,1,1,0
M,295.0,304.7,1722,36.4,56,9.66,6571.9,47.25,0,0,0,0,0,0
M,301.0,310.3,1154,37.9,107,9.29,4578.8,30.46,0,0,0,0,0,0
L,303.0,312.9,1770,39.6,141,9.82,7335.0,44.73,0,0,0,0,0,0
M,300.2,309.4,1690,28.7,207,9.18,5075.2,58.93,1,1,0,0,0,0
L,297.9,308.0,1426,50.6,93,10.06,7549.0,28.21,0,0,0,0,0,0
L,299.0,309.1,1569,46.4,137,10.09,7624.1,33.81,0,0,0,0,0,0
L,303.5,313.8,1475,49.2,69,10.26,7596.3,29.99,0,0,0,0,0,0
L,301.8,313.6,1623,27.8,209,11.77,4728.4,58.34,0,0,0,0,0,0
L,301.3,311.1,1425,51.4,196,9.87,7663.2,27.75,0,0,0,0,0,0
M,300.7,311.7,1595,50.2,205,11.0,8384.5,31.77,0,0,0,0,0,0
H,298.7,308.9,1513,37.7,14,10.23,5969.4,40.16,0,0,0,0,0,0
M,299.6,309.4,1413,49.0,121,9.76,7243.1,28.87,0,0,0,0,0,0
M,299.8,309.7,1538,42.7,33,9.88,6881.5,36.0,0,0,0,0,0,0
L,301.1,311.0,2041,24.1,168,9.94,5142.4,84.83,0,0,0,0,0,0
M,303.0,313.3,1362,38.2,77,10.28,5444.4,35.68,0,0,0,0,0,0
L,302.2,311.3,1450,35.2,193,9.04,5342.6,41.21,0,0,0,0,0,0
L,297.2,305.7,1366,40.9,16,8.53,5844.1,33.44,1,0,1,0,0,0
L,300.4,311.1,1387,50.2,128,10.65,7293.0,27.62,0,0,0,0,0,0
L,301.5,312.4,1663,23.6,30,10.9,4107.6,70.51,0,0,0,0,0,0
L,301.2,312.0,1643,35.6,139,10.75,6119.0,46.2,0,0,0,0,0,0
L,298.7,308.9,1498,31.8,151,10.15,4985.6,47.13,0,0,0,0,0,0
L,305.8,316.6,1705,32.2,115,10.77,5751.2,52.93,0,0,0,0,0,0
H,297.4,308.2,1658,31.8,69,10.71,5515.9,52.19,0,0,0,0,0,0
L,297.8,308.6,1467,40.7,8,10.79,6249.7,36.06,0,0,0,0,0,0
L,300.5,309.6,1193,45.2,165,9.14,5650.8,26.38,0,0,0,0,0,0
L,304.2,313.1,1665,43.5,217,8.9,7581.7,38.29,1,1,0,0,0,0
M,298.3,307.9,1533,41.9,183,9.61,6719.5,36.62,0,0,0,0,0,0
L,299.5,309.5,1504,46.2,223,9.98,7279.2,32.54,1,1,0,0,0,0
L,302.2,311.9,1406,63.8,232,9.76,9394.1,22.04,1,0,0,1,1,0
L,300.0,308.1,1648,41.4,112,8.12,7137.6,39.85,0,0,0,0,0,0
L,299.3,311.1,1569,50.2,174,11.72,8250.0,31.25,0,0,0,0,0,0
L,301.1,310.9,1452,49.6,99,9.73,7548.2,29.25,0,0,0,0,0,0
L,300.5,310.7,1254,57.8,229,10.17,7587.3,21.7,1,1,0,0,1,0
L,302.1,313.3,1713,45.6,140,11.24,8180.9,37.56,0,0,0,0,0,0
L,302.6,310.2,1620,31.6,188,7.66,5353.5,51.34,0,0,0,0,0,0
L,300.6,310.1,1551,43.0,3,9.49,6992.0,36.03,0,0,0,0,0,0
M,300.6,310.2,968,42.5,143,9.61,4309.3,22.77,0,0,0,0,0,0
L,300.4,310.1,1492,48.2,185,9.66,7523.3,30.99,0,0,0,0,0,0
L,301.0,310.8,1451,31.3,64,9.83,4750.8,46.41,0,0,0,0,0,0
L,300.1,311.6,1376,52.7,3,11.45,7588.5,26.13,0,0,0,0,0,0
H,300.0,310.7,1650,40.1,185,10.67,6920.6,41.2,0,0,0,0,0,0
L,302.4,313.4,1642,48.4,84,10.96,8321.3,33.93,0,0,0,0,0,0
L,303.0,313.1,1587,43.1,107,10.05,7162.3,36.82,0,0,0,0,0,0
M,297.0,305.6,1707,41.2,140,8.6,7369.4,41.41,0,0,0,0,0,0
L,300.0,307.9,1295,42.3,27,7.92,5741.6,30.59,1,0,1,0,0,0
L,298.6,307.1,1409,46.7,25,8.47,6893.5,30.16,0,0,0,0,0,0
L,299.4,309.7,1514,59.6,240,10.36,9447.2,25.41,1,1,0,1,1,0
M,300.8,310.8,1375,19.8,84,10.03,2854.8,69.35,1,0,0,1,0,0
L,301.3,311.1,1645,45.4,63,9.79,7820.8,36.23,0,0,0,0,0,0
M,299.8,309.4,1395,40.4,11,9.63,5907.6,34.5,0,0,0,0,0,0
H,296.2,308.2,1759,38.2,43,12.01,7041.8,46.01,0,0,0,0,0,0
L,298.1,307.2,1313,16.4,107,9.18,2250.4,80.22,1,0,0,1,0,0
L,301.8,312.7,1926,45.8,85,10.93,9237.8,42.05,1,0,0,1,0,0
L,294.5,304.5,1905,38.8,106,10.0,7730.3,49.16,0,0,0,0,0,0
L,302.4,312.3,1481,31.7,175,9.94,4909.5,46.78,0,0,0,0,0,0
L,301.0,312.2,1729,40.4,160,11.18,7319.3,42.77,0,0,0,0,0,0
H,302.6,314.1,1419,37.1,123,11.46,5508.8,38.28,0,0,0,0,0,0
M,299.6,309.4,1702,22.6,203,9.76,4023.8,75.39,0,0,0,0,0,0
M,295.9,306.7,1464,40.9,214,10.8,6267.6,35.81,0,0,0,0,0,0
L,300.9,311.2,1242,45.8,147,10.36,5956.9,27.12,0,0,0,0,0,0
M,302.5,312.6,800,34.5,29,10.01,2890.9,23.18,1,0,0,1,0,0
H,301.8,312.1,1446,42.6,101,10.2,6453.3,33.93,0,0,0,0,0,0
M,298.7,308.0,1555,41.1,158,9.31,6689.6,37.85,0,0,0,0,0,0
L,300.2,309.9,1766,50.5,15,9.69,9330.9,35.0,1,0,0,1,0,0
M,298.9,308.4,1507,39.0,4,9.42,6148.9,38.68,0,0,0,0,0,0
L,298.4,309.3,1700,48.0,237,10.9,8547.1,35.41,1,0,0,0,1,0
L,301.9,311.8,1409,36.9,182,9.9,5439.7,38.22,0,0,0,0,0,0
L,297.6,306.3,1432,59.7,38,8.7,8948.5,24.0,0,0,0,0,0,0
M,298.2,307.5,1710,35.6,111,9.28,6380.6,47.99,0,0,0,0,0,0
M,297.8,304.6,1007,33.2,48,6.8,3495.8,30.38,1,0,1,1,0,0
L,297.0,306.5,1502,39.0,2,9.51,6133.5,38.52,0,0,0,0,0,0
L,300.3,310.3,1420,32.7,97,10.04,4865.5,43.4,0,0,0,0,0,0
L,302.3,312.2,1772,27.5,162,9.86,5105.5,64.4,0,0,0,0,0,0
L,299.6,311.6,1394,47.3,238,11.98,6901.3,29.49,1,1,0,0,1,0
L,297.0,307.6,1603,9.4,192,10.57,1573.5,171.01,1,0,0,1,0,0
L,301.7,312.2,1684,32.8,57,10.53,5788.6,51.3,0,0,0,0,0,0
M,303.4,311.7,1201,26.6,84,8.36,3343.2,45.18,1,0,1,1,0,0
L,298.7,308.3,1472,41.4,130,9.64,6385.0,35.54,0,0,0,0,0,0
L,299.0,308.6,1413,18.1,47,9.51,2679.5,78.03,1,0,0,1,0,0
L,301.0,310.2,1689,45.5,208,9.21,8043.9,37.14,1,1,0,0,0,0
H,303.2,312.4,1635,46.6,41,9.2,7972.0,35.12,0,0,0,0,0,0
M,299.0,307.2,1453,23.7,72,8.19,3602.2,61.38,0,0,0,0,0,0
M,297.3,306.1,1290,41.9,144,8.72,5661.0,30.78,0,0,0,0,0,0
L,301.3,312.1,1707,45.2,30,10.87,8072.8,37.8,0,0,0,0,0,0
L,301.6,311.5,1486,49.4,156,9.86,7687.8,30.08,0,0,0,0,0,0
L,300.0,309.5,1176,25.3,236,9.49,3117.0,46.46,1,1,0,1,0,0
M,298.9,308.9,1193,23.9,172,9.99,2986.3,49.91,1,0,0,1,0,0
H,302.0,313.2,1587,55.0,203,11.17,9144.9,28.84,1,1,0,1,0,0
M,301.1,311.1,1244,31.8,109,10.0,4140.2,39.14,0,0,0,0,0,0
M,298.5,309.0,1871,34.7,91,10.54,6803.9,53.88,0,0,0,0,0,0
M,300.1,309.3,1312,46.3,82,9.15,6365.5,28.32,0,0,0,0,0,0
L,297.3,306.7,1499,28.3,165,9.38,4443.6,52.95,0,0,0,0,0,0
H,301.4,311.7,1531,37.3,129,10.35,5986.8,41.0,0,0,0,0,0,0
L,299.5,311.4,1354,48.9,118,11.89,6936.0,27.68,0,0,0,0,0,0
L,299.1,310.6,1052,25.8,25,11.43,2841.0,40.79,1,0,0,1,0,0
L,299.9,310.5,1538,35.0,168,10.58,5637.1,43.94,0,0,0,0,0,0
L,300.1,310.2,1349,28.7,181,10.15,4059.0,46.95,0,0,0,0,0,0
L,301.8,313.2,1523,32.3,49,11.4,5145.2,47.21,0,0,0,0,0,0
L,301.2,312.0,1475,51.9,189,10.79,8009.8,28.44,0,0,0,0,0,0
L,299.7,307.4,1552,54.1,219,7.71,8784.6,28.71,1,1,0,0,1,0
L,301.5,310.5,1812,42.6,43,8.95,8079.3,42.56,0,0,0,0,0,0
L,300.8,311.1,1390,45.3,113,10.34,6597.1,30.67,0,0,0,0,0,0
L,299.1,307.4,1406,45.0,219,8.21,6632.8,31.21,0,0,0,0,0,0
L,299.8,308.9,1166,33.3,121,9.1,4063.2,35.04,0,0,0,0,0,0
L,299.7,309.0,1460,42.4,203,9.3,6479.7,34.45,0,0,0,0,0,0
M,301.0,310.8,1581,27.0,53,9.74,4477.9,58.45,0,0,0,0,0,0
M,299.3,309.0,1403,30.4,15,9.71,4468.5,46.13,0,0,0,0,0,0
M,299.2,308.9,1583,39.1,14,9.71,6487.0,40.45,0,0,0,0,0,0
M,303.9,314.8,1464,29.4,243,10.83,4505.8,49.81,1,1,0,0,0,0
L,301.9,311.6,1239,27.3,41,9.73,3538.6,45.43,0,0,0,0,0,0
M,298.5,308.1,1562,32.9,216,9.62,5378.4,47.5,0,0,0,0,0,0
L,301.1,309.8,1458,51.5,78,8.65,7857.5,28.33,0,0,0,0,0,0
L,300.2,311.3,1524,55.6,10,11.02,8868.8,27.42,0,0,0,0,0,0
M,300.8,310.1,1386,39.7,60,9.33,5758.4,34.93,0,0,0,0,0,0
L,300.3,309.2,1368,45.8,126,8.91,6564.3,29.85,0,0,0,0,0,0
M,302.4,312.6,1531,34.4,26,10.21,5509.6,44.55,0,0,0,0,0,0
M,300.7,309.9,1453,19.3,230,9.23,2943.3,75.12,1,1,0,1,0,0
M,299.9,309.3,1844,31.1,224,9.47,5998.7,59.36,0,0,0,0,0,0
H,302.1,312.3,1659,36.9,37,10.26,6413.5,44.94,0,0,0,0,0,0
L,300.5,310.1,1609,41.4,184,9.67,6977.3,38.86,0,0,0,0,0,0
L,300.2,312.6,1464,39.0,115,12.31,5977.6,37.55,0,0,0,0,0,0
L,300.6,310.6,1094,37.2,245,9.93,4259.9,29.42,1,1,0,0,0,0
L,299.8,310.4,1338,34.3,13,10.62,4799.5,39.06,0,0,0,0,0,0
M,300.0,308.1,1370,43.4,117,8.06,6232.0,31.54,1,0,1,0,0,0
M,298.8,308.0,1445,26.4,71,9.14,3989.0,54.82,0,0,0,0,0,0
M,298.5,307.4,1493,48.0,181,8.91,7507.9,31.09,0,0,0,0,0,0
L,298.0,307.0,1631,34.1,27,9.05,5830.4,47.78,0,0,0,0,0,0
L,297.2,307.6,1554,60.7,157,10.42,9873.3,25.61,1,0,0,1,0,0
L,298.2,309.3,1731,36.8,237,11.04,6679.2,46.98,1,1,0,0,0,0
L,299.7,310.0,1437,35.2,113,10.34,5296.7,40.83,0,0,0,0,0,0
M,300.2,310.0,1551,34.4,113,9.77,5582.9,45.12,0,0,0,0,0,0
L,299.5,308.8,1568,35.3,123,9.37,5795.9,44.42,0,0,0,0,0,0
L,295.3,306.4,1549,46.1,103,11.11,7473.4,33.62,0,0,0,0,0,0
L,303.1,315.2,1756,39.6,111,12.07,7277.8,44.37,0,0,0,0,0,0
M,302.2,312.3,1660,49.9,115,10.14,8669.3,33.29,0,0,0,0,0,0
M,300.9,311.8,1236,44.6,249,10.94,5778.5,27.69,1,1,0,0,0,0
L,303.8,314.2,1477,40.3,29,10.34,6235.6,36.64,0,0,0,0,0,0
L,298.0,308.8,1497,43.7,71,10.76,6855.3,34.23,0,0,0,0,0,0
L,303.8,312.6,1930,52.0,52,8.84,10502.3,37.14,1,0,0,1,0,0
L,298.1,307.6,1434,46.6,136,9.51,6992.9,30.79,0,0,0,0,0,0
M,300.5,310.9,1303,42.8,0,10.4,5840.8,30.44,0,0,0,0,0,0
M,297.5,308.7,1587,44.2,230,11.21,7350.2,35.88,0,0,0,0,0,0
L,300.0,309.2,1599,28.5,132,9.18,4767.7,56.16,0,0,0,0,0,0
L,300.8,308.7,1485,65.7,224,7.97,10219.6,22.6,1,1,0,1,1,0
H,299.7,309.2,1455,45.3,86,9.5,6899.4,32.13,0,0,0,0,0,0
L,301.4,312.4,1689,46.3,37,11.01,8185.5,36.5,0,0,0,0,0,0
M,300.2,308.6,1329,39.7,48,8.42,5527.0,33.47,1,0,1,0,0,0
L,299.0,307.8,1431,17.0,117,8.82,2551.2,84.06,1,0,0,1,0,0
L,298.9,309.0,1395,37.3,10,10.16,5455.7,37.35,0,0,0,0,0,0
L,301.6,311.5,1718,40.8,195,9.88,7333.0,42.15,0,0,0,0,0,0
L,298.7,309.3,1557,31.8,197,10.59,5180.3,49.01,0,0,0,0,0,0
H,301.8,310.6,1287,31.7,175,8.77,4270.3,40.62,0,0,0,0,0,0
L,302.4,312.1,1307,36.6,224,9.68,5010.4,35.7,1,1,0,0,0,0
L,296.7,307.9,1874,47.7,137,11.2,9363.9,39.27,1,0,0,1,0,0
L,302.3,311.1,1716,52.6,119,8.81,9444.5,32.65,1,0,0,1,0,0
L,304.1,315.6,1668,41.7,132,11.48,7285.5,39.99,0,0,0,0,0,0
L,300.5,309.4,1502,34.3,45,8.93,5399.1,43.76,0,0,0,0,0,0
L,301.2,312.0,1801,36.4,128,10.85,6860.6,49.51,0,0,0,0,0,0
M,302.1,311.7,1279,41.0,135,9.63,5490.8,31.2,0,0,0,0,0,0
L,299.4,308.3,1650,42.2,191,8.86,7288.2,39.12,0,0,0,0,0,0
L,300.4,309.9,1411,44.3,86,9.5,6553.1,31.82,0,0,0,0,0,0
H,297.4,307.9,1450,35.6,23,10.54,5406.6,40.72,0,0,0,0,0,0
L,300.3,310.3,1645,45.3,149,9.99,7802.3,36.32,0,0,0,0,0,0
H,301.0,312.1,1471,44.5,196,11.12,6855.3,33.05,0,0,0,0,0,0
L,301.0,312.5,1413,36.0,242,11.44,5334.1,39.2,1,1,0,0,0,0
M,302.1,310.9,1400,22.8,22,8.82,3343.4,61.39,1,0,0,1,0,0
M,298.5,307.2,1102,31.2,186,8.74,3594.8,35.38,0,0,0,0,0,0
M,298.9,307.6,1652,55.7,148,8.7,9631.8,29.67,1,0,0,1,0,0
H,303.8,312.9,1298,23.1,3,9.1,3135.0,56.28,1,0,0,1,0,0
L,299.7,310.8,1871,53.2,179,11.1,10418.7,35.19,1,0,0,1,0,0
H,300.4,311.0,1442,22.7,6,10.56,3430.0,63.48,1,0,0,1,0,0
L,299.9,309.3,1761,32.3,196,9.45,5950.7,54.57,0,0,0,0,0,0
L,298.4,308.3,1138,36.3,180,9.99,4320.3,31.39,0,0,0,0,0,0
L,303.2,314.7,1646,57.8,171,11.4,9966.9,28.47,1,0,0,1,0,0
L,298.9,310.9,1697,40.3,29,11.91,7154.8,42.15,0,0,0,0,0,0
L,297.7,308.0,1760,37.9,229,10.26,6977.8,46.49,1,1,0,0,0,0
L,299.1,306.4,1194,30.6,224,7.34,3831.9,38.96,1,1,1,0,0,0
L,296.0,306.3,1359,45.2,225,10.3,6435.4,30.05,0,0,0,0,0,0
M,298.7,309.6,1615,34.9,90,10.93,5897.8,46.31,0,0,0,0,0,0
M,298.1,308.3,1529,37.7,123,10.22,6038.0,40.55,0,0,0,0,0,0
L,301.2,312.0,1558,36.4,28,10.73,5941.5,42.78,0,0,0,0,0,0
L,298.7,309.0,1427,47.2,12,10.36,7053.1,30.23,0,0,0,0,0,0
L,301.8,310.5,1810,47.6,14,8.77,9025.6,38.01,1,0,0,1,0,0
L,302.8,311.9,2021,31.1,142,9.11,6581.1,64.99,0,0,0,0,0,0
L,301.6,311.2,1520,33.7,80,9.68,5368.5,45.07,0,0,0,0,0,0
L,299.6,310.6,1590,32.7,144,11.07,5451.6,48.56,0,0,0,0,0,0
L,300.3,309.5,1511,41.8,148,9.23,6619.4,36.12,0,0,0,0,0,0
H,297.0,307.4,1756,49.1,226,10.46,9022.8,35.79,1,1,0,1,0,0
L,299.7,310.0,1665,42.0,220,10.3,7317.2,39.67,1,1,0,0,0,0
L,298.3,309.9,1286,18.1,179,11.59,2436.6,71.08,1,0,0,1,0,0
L,301.4,311.3,1377,47.6,204,9.96,6863.5,28.93,0,0,0,0,0,0
L,305.1,313.4,1298,26.5,0,8.25,3603.4,48.96,1,0,1,0,0,0
L,301.0,311.6,2038,32.8,3,10.65,7010.3,62.04,0,0,0,0,0,0
M,296.0,308.2,1627,42.0,114,12.14,7153.2,38.75,0,0,0,0,0,0
L,299.3,310.0,1380,39.2,163,10.71,5659.3,35.24,0,0,0,0,0,0
L,300.2,309.5,1364,48.7,198,9.21,6960.1,27.99,0,0,0,0,0,0
H,300.2,309.1,1661,33.9,111,8.92,5895.2,49.01,0,0,0,0,0,0
M,298.5,307.6,1680,30.3,235,9.05,5336.6,55.38,1,1,0,0,0,0
M,300.5,312.5,1659,36.9,203,12.0,6407.8,44.98,0,0,0,0,0,0
L,297.5,307.2,1414,49.8,25,9.67,7369.7,28.41,0,0,0,0,0,0
M,298.1,307.4,1561,46.3,110,9.34,7568.0,33.72,0,0,0,0,0,0
L,301.3,311.1,1522,40.9,248,9.84,6514.2,37.24,1,1,0,0,0,0
L,298.0,307.7,1312,53.3,102,9.68,7317.5,24.63,0,0,0,0,0,0
L,301.1,312.6,1314,51.4,96,11.57,7079.4,25.54,0,0,0,0,0,0
L,297.3,306.2,1582,47.9,73,8.99,7932.9,33.04,0,0,0,0,0,0
L,303.5,314.7,1539,28.2,121,11.18,4548.1,54.54,0,0,0,0,0,0
L,298.5,308.6,1610,47.8,182,10.12,8064.5,33.66,0,0,0,0,0,0
H,299.6,310.8,1658,38.0,11,11.21,6593.7,43.66,0,0,0,0,0,0
H,300.7,312.2,1799,36.1,208,11.58,6791.6,49.9,0,0,0,0,0,0
M,298.9,309.0,1344,33.2,229,10.08,4669.1,40.51,0,0,0,0,0,0
L,300.3,310.0,1626,38.3,195,9.68,6518.6,42.47,0,0,0,0,0,0
M,301.2,311.2,1649,33.7,228,10.07,5826.7,48.87,1,1,0,0,0,0
L,301.9,311.8,1437,41.7,23,9.91,6274.7,34.46,0,0,0,0,0,0
M,301.6,309.9,1524,38.3,112,8.34,6107.7,39.82,0,0,0,0,0,0
L,299.7,311.2,1442,42.2,17,11.55,6373.3,34.17,0,0,0,0,0,0
M,299.7,310.0,1921,45.5,209,10.25,9159.7,42.19,1,1,0,1,0,0
L,304.7,313.5,1520,37.1,238,8.84,5898.4,41.02,1,1,0,0,0,0
M,301.9,309.8,1590,32.6,74,7.93,5432.6,48.73,0,0,0,0,0,0
H,298.2,305.8,1447,19.9,133,7.67,3020.9,72.58,1,0,0,1,0,0
L,300.2,311.0,1404,47.7,74,10.77,7014.1,29.43,0,0,0,0,0,0
L,299.3,308.7,1239,40.8,94,9.38,5292.1,30.38,0,0,0,0,0,0
H,299.7,309.3,1719,38.2,119,9.55,6883.4,44.96,0,0,0,0,0,0
L,297.5,308.0,1653,51.7,197,10.49,8952.7,31.96,0,0,0,0,0,0
M,299.2,308.7,1439,27.1,36,9.48,4086.0,53.07,0,0,0,0,0,0
L,303.6,314.2,1319,40.6,39,10.55,5602.7,32.52,0,0,0,0,0,0
L,301.2,311.3,1535,30.4,50,10.1,4880.1,50.56,0,0,0,0,0,0
L,295.0,304.9,1400,46.6,13,9.92,6826.1,30.07,0,0,0,0,0,0
L,302.4,310.9,1455,17.7,160,8.43,2702.8,82.02,1,0,0,1,0,0
M,302.2,311.4,1247,48.0,47,9.18,6273.3,25.96,0,0,0,0,0,0
L,299.3,309.9,1543,47.6,109,10.6,7695.6,32.4,0,0,0,0,0,0
L,301.4,310.8,1547,30.8,171,9.32,4984.8,50.28,0,0,0,0,0,0
L,298.3,309.5,1718,40.7,112,11.21,7315.7,42.25,0,0,0,0,0,0
L,299.1,311.4,1469,31.0,226,12.35,4766.5,47.41,0,0,0,0,0,0
M,303.0,313.7,1433,44.3,192,10.66,6644.2,32.37,0,0,0,0,0,0
H,299.5,310.9,1188,48.2,68,11.49,5996.7,24.65,0,0,0,0,0,0
L,296.3,307.0,1720,30.0,32,10.72,5394.6,57.43,0,0,0,0,0,0
M,299.9,309.3,1678,27.0,223,9.47,4750.1,62.07,0,0,0,0,0,0
M,299.8,310.0,1505,51.0,99,10.2,8032.1,29.53,0,0,0,0,0,0
L,302.4,314.4,1234,59.4,95,12.01,7677.4,20.77,0,0,0,0,0,0
H,300.0,309.5,1257,44.9,202,9.48,5916.2,27.97,0,0,0,0,0,0
L,299.2,308.1,1390,45.7,2,8.96,6649.8,30.43,0,0,0,0,0,0
L,302.1,311.0,1693,36.7,112,8.87,6502.9,46.16,0,0,0,0,0,0
M,300.2,310.0,1558,41.8,178,9.78,6819.9,37.27,0,0,0,0,0,0
L,298.5,307.5,1201,43.5,212,9.0,5471.8,27.6,0,0,0,0,0,0
M,302.3,314.0,1580,38.2,221,11.67,6316.2,41.39,0,0,0,0,0,0
M,300.4,310.6,1332,53.5,116,10.22,7462.3,24.9,0,0,0,0,0,0
L,300.0,311.0,1395,41.8,211,10.97,6101.6,33.4,0,0,0,0,0,0
M,300.4,310.1,1694,43.1,8,9.7,7637.9,39.34,0,0,0,0,0,0
L,297.9,306.7,1653,38.4,76,8.86,6643.7,43.07,0,0,0,0,0,0
L,298.9,307.6,1718,39.4,2,8.69,7087.8,43.61,0,0,0,0,0,0
M,300.0,309.1,1495,52.2,41,9.09,8170.2,28.65,0,0,0,0,0,0
H,299.6,310.0,1676,41.5,181,10.35,7276.5,40.43,0,0,0,0,0,0
L,302.5,313.1,1382,41.7,1,10.52,6033.9,33.15,0,0,0,0,0,0
L,300.4,311.0,1448,41.8,130,10.6,6341.6,34.62,0,0,0,0,0,0
M,301.7,310.2,1434,36.4,103,8.51,5459.3,39.44,0,0,0,0,0,0
M,300.0,310.0,1504,25.9,30,10.0,4082.5,58.02,0,0,0,0,0,0
M,302.1,311.1,1242,55.7,171,8.97,7247.8,22.29,0,0,0,0,0,0
L,300.8,311.2,1454,50.7,173,10.4,7717.1,28.69,0,0,0,0,0,0
L,300.0,310.5,1790,52.5,181,10.48,9839.2,34.1,1,0,0,1,0,0
L,300.0,308.8,1281,29.3,191,8.83,3927.1,43.76,0,0,0,0,0,0
M,298.1,309.1,1234,54.4,78,10.97,7036.2,22.66,0,0,0,0,0,0
L,301.0,313.4,1250,59.7,248,12.34,7810.6,20.95,1,1,0,0,1,0
L,299.9,310.8,2032,50.4,18,10.83,10734.9,40.28,1,0,0,1,0,0
H,299.0,308.8,1592,56.5,161,9.84,9415.7,28.19,1,0,0,1,0,0
L,302.2,311.9,1445,48.0,242,9.68,7260.1,30.12,1,1,0,0,1,0
H,297.5,307.3,1513,31.5,56,9.79,4996.3,47.98,0,0,0,0,0,0
